LOC114953030	rna-XM_044318749.1
LOC114953031	rna-XM_029329164.2
LOC114947550	rna-XM_044318788.1
LOC122949783	rna-XM_044309841.1
LOC114953922	rna-XM_029330346.2
LOC114976512	rna-XM_044318774.1
LOC114976754	rna-XM_044309848.1
LOC114975741	rna-XM_029355995.2
LOC114975741	rna-XM_029355970.2
LOC114975741	rna-XM_044318801.1
LOC114975741	rna-XM_029355963.2
LOC114975741	rna-XM_029355958.2
LOC114975741	rna-XM_029355944.2
LOC114975741	rna-XM_044318797.1
LOC114975741	rna-XM_044318794.1
LOC114975741	rna-XM_029355951.2
LOC114975741	rna-XM_044318807.1
LOC114975741	rna-XM_029355975.2
LOC114977054	rna-XM_029357650.2
LOC122957553	rna-XM_044317694.1
LOC122949795	rna-XM_044309854.1
LOC122949805	rna-XM_044309866.1
LOC122957548	rna-XM_044317676.1
LOC122949813	rna-XM_044309873.1
LOC114977009	rna-XM_029357598.2
LOC114976869	rna-XM_044318833.1
LOC122949818	rna-XM_044309878.1
LOC122958199	rna-XM_044318838.1
LOC122949828	rna-XM_044309887.1
LOC122949836	rna-XM_044309895.1
LOC122949842	rna-XM_044309898.1
LOC122949848	rna-XM_044309902.1
LOC114972883	rna-XM_029353310.2
LOC122947018	rna-XM_044318846.1
LOC122947018	rna-XM_044318847.1
LOC122957572	rna-XM_044317829.1
LOC122958206	rna-XM_044318857.1
LOC114976864	rna-XM_044318863.1
LOC114976864	rna-XM_044318873.1
LOC114976864	rna-XM_044318877.1
LOC122958211	rna-XM_044318882.1
LOC122949868	rna-XM_044309922.1
LOC122957784	rna-XM_044318228.1
LOC114959009	rna-XM_029336888.2
LOC122949905	rna-XM_044309930.1
LOC114967712	rna-XM_044318892.1
LOC114950507	rna-XM_044318896.1
LOC114950007	rna-XM_029326290.2
LOC114949996	rna-XM_029326282.2
LOC114949987	rna-XM_029326275.2
LOC114949978	rna-XM_029326266.2
LOC122958215	rna-XM_044318908.1
LOC114951230	rna-XM_044318901.1
LOC114951059	rna-XM_029327252.2
LOC114950967	rna-XM_044318929.1
LOC114950157	rna-XM_029326409.2
LOC114950173	rna-XM_029326421.2
LOC114950183	rna-XM_029326431.2
LOC122958241	rna-XM_044318975.1
LOC114951239	rna-XM_044318951.1
LOC114951239	rna-XM_044318957.1
LOC122958237	rna-XM_044318965.1
LOC114951249	rna-XM_044318987.1
LOC114950936	rna-XM_044318995.1
LOC122958254	rna-XM_044318998.1
LOC114950861	rna-XM_029327065.2
LOC114950861	rna-XM_029327058.2
LOC114950861	rna-XM_029327031.2
LOC114950861	rna-XM_029327017.2
LOC114950861	rna-XM_029327049.2
LOC114950861	rna-XM_029327040.2
LOC114950861	rna-XM_044319010.1
LOC114950908	rna-XM_029327087.2
LOC114950928	rna-XM_029327101.2
LOC122958275	rna-XM_044319037.1
LOC122958277	rna-XM_044319039.1
LOC114950067	rna-XM_029326336.2
LOC114950055	rna-XM_044319049.1
LOC114950055	rna-XM_044319047.1
LOC114950055	rna-XM_044319050.1
LOC114950055	rna-XM_044319051.1
LOC122958286	rna-XM_044319061.1
LOC122958289	rna-XM_044319065.1
LOC114950084	rna-XM_029326348.2
LOC122958297	rna-XM_044319073.1
LOC114950492	rna-XM_029326681.2
LOC114950492	rna-XM_029326686.2
LOC114950520	rna-XM_029326704.2
LOC122958308	rna-XM_044319078.1
LOC122958334	rna-XM_044319129.1
LOC122949934	rna-XM_044309934.1
LOC122958321	rna-XM_044319101.1
LOC114972243	rna-XM_029352785.2
LOC114973714	rna-XM_044319092.1
LOC114973713	rna-XM_044319094.1
LOC122958340	rna-XM_044319149.1
LOC122958340	rna-XM_044319142.1
LOC122947279	rna-XM_044319157.1
LOC122949940	rna-XM_044309941.1
LOC122949942	rna-XM_044309954.1
LOC122949947	rna-XM_044309959.1
LOC122958360	rna-XM_044319180.1
LOC122949955	rna-XM_044309964.1
LOC122947411	rna-XM_044319216.1
LOC114973715	rna-XM_044319207.1
LOC114973715	rna-XM_044319212.1
LOC114973715	rna-XM_044319199.1
LOC114973715	rna-XM_044319195.1
LOC114973715	rna-XM_044319202.1
LOC122958366	rna-XM_044319192.1
LOC122958362	rna-XM_044319185.1
LOC114950830	rna-XM_044319190.1
LOC114950830	rna-XM_029326977.2
LOC114951268	rna-XM_044319220.1
LOC114950509	rna-XM_029326696.2
LOC122958380	rna-XM_044319233.1
LOC122958377	rna-XM_044319227.1
LOC114950988	rna-XM_029327172.2
LOC122963259	rna-XM_044326835.1
LOC114950029	rna-XM_029326308.2
LOC114950018	rna-XM_044319246.1
LOC114951258	rna-XM_044319254.1
LOC122958386	rna-XM_044319266.1
LOC114950044	rna-XM_029326322.2
LOC114950947	rna-XM_044319283.1
LOC114950947	rna-XM_044319286.1
LOC122958396	rna-XM_044319289.1
LOC122946942	rna-XM_044319308.1
LOC122946942	rna-XM_044319298.1
LOC122946942	rna-XM_044319292.1
LOC122946942	rna-XM_044319305.1
LOC114950852	rna-XM_029327003.2
LOC122958408	rna-XM_044319320.1
LOC122958414	rna-XM_044319324.1
LOC122949969	rna-XM_044309988.1
LOC114950533	rna-XM_044309993.1
LOC122957845	rna-XM_044318300.1
LOC122949977	rna-XM_044310015.1
LOC122949978	rna-XM_044310031.1
LOC114951809	rna-XM_029327932.2
LOC114977376	rna-XM_029358058.2
LOC122949980	rna-XM_044310050.1
LOC114977352	rna-XM_044310054.1
LOC114951811	rna-XM_044310057.1
LOC114966200	rna-XM_029345985.2
LOC114966191	rna-XM_044319348.1
LOC114966191	rna-XM_044319343.1
LOC114966177	rna-XM_029345964.2
LOC114966194	rna-XM_044319359.1
LOC114966194	rna-XM_044319368.1
LOC114966194	rna-XM_029345978.2
LOC114966194	rna-XM_029345977.2
LOC122949994	rna-XM_044310070.1
